question_id,question_ar,reference_answer_ar,source_law,article_number,topic_category,difficulty,notes
Q012,ما هي القواعد القانونية التي تحكم عقد العمل المحدد المدة في القانون الأردني ؟,"1- لا يجيز القانون أن تتجاوز مدة عقد العمل المحدد المدة خمس سنوات سنداً لنص المادة (806/2) من القانون المدني.
2- إذا استمر الطرفان في تنفيذ عقد العمل المحدد المدة بعد انتهاء مدته الأصلية اعتبر ذلك تجديداً للعقد لمدة غير محددة وذلك من بدايته سنداً لنص المادة (15/ج) من قانون العمل.
3- حالات انتهاء عقد العمل المحدد المدة:
أ- انتهاء المدة المتفق عليها في العقد، المادة (21/ب) من قانون العمل.
ب- اتفاق الطرفين على فسخه قبل انتهاء مدته (الإقالة) سنداً لنص المادة (241) من القانون المدني.
ج- يحق لصاحب العمل في عقد العمل المحدد المدة فصل العامل فصلاً تأديبياً قبل انتهاء مدة العقد إذا ارتكب العامل واحدة أو أكثر من المخالفات المنصوص عليه في المادة (28) من قانون العمل.
د- يحق للعامل أن يفسخ عقد العمل المحدد المدة سنداً لإحدى الحالات المنصوص عليها في المادة (29) من قانون العمل.
4- التعويض في حال فسخ عقد العمل المحدد المدة:
أ- إذا وقع الفسخ من جهة صاحب العمل لغير الأسباب المنصوص عليه في المادة (28) من قانون العمل فيستحق العامل الأجور التي تستحق حتى انتهاء المدة المتبقية من العقد بالإضافة إلى حق العامل في استيفاء جميع الحقوق والمزايا التي ينص عليها العقد، المادة (26/أ) من قانون العمل.
ب- إذا وقع الفسخ من جهة العامل لغير الأسباب المنصوص عليه في المادة (29) من قانون العمل فلصاحب العمل مطالبة العامل بجميع ما ينشأ عن هذا الإنهاء من عطل وضرر يعود تقديره للمحكمة المختصة على ألا يجاوز مبلغ ما يحكم به على العامل أجر نصف شهر عن كل شهر من المدة المتبقية من العقد، المادة (26/ب) من قانون العمل.
5- يستحق العامل الذي يعمل بعقد محدد المدة مكافأة نهاية الخدمة سنداً لنص المادة (32) من قانون العمل المعدلة بموجب القانون المؤقت المعدل رقم 26 لسنة 2010 الذي أصبح رقمه 14 لسنة 2019 بعد إقراره كقانون دائمي، كما هو الحال بالنسبة إلى العامل بعقد عمل غير محدد المدة.",Jordanian Labor Law No. 8 of 1996,26,Wages and Compensation,Medium,
Q013,ما هي شروط اختصاص سلطة الأجور بنظر الدعاوى المتعلقة بالأجور ؟,"1- أن يكون العامل من العمال المشمولين بقانون العمل.
2- أن يكون العامل على رأس عمله أو لم يمض على ترك العامل للعمل مدة تزيد على ستة أشهر، وأن يكون انهاء العلاقة التعاقدية من طرف العامل.
3- أن تقتصر مطالبة العامل على المطالبة بالأجور ومنها النقص في الأجر المدفوع أو الحسميات غير القانونية منه أو تأخير دفعه أو أجور ساعات العمل الإضافية أو أي تمييز في الأجور عن العمل ذي القيمة المتساوية.
4- يقتصر اختصاص سلطة الأجور على المناطق التي تشكل فيها سلطة للأجور.
المادة (54/أ/1) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.",Jordanian Labor Law No. 8 of 1996,137,Wages and Compensation,Hard,
Q014,متى يحق للعامل أن يرفع دعواه لدى سلطة الأجور ؟,"1- في حال أنه على رأس عمله.
2- خلال ستة شهور من تاريخ انتهاء العلاقة التعاقدية إذا كان انهاء العلاقة التعاقدية من طرف العامل.
المادة (54/أ/1) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.",Jordanian Labor Law No. 8 of 1996,54,Wages and Compensation,Medium,
Q015,ما هي الحقوق التي يحق للعامل المطالبة بها لدى سلطة الأجور ؟,"الجواب: الدعاوى المتعلقة بالأجور ومنها النقص في الأجر المدفوع أو الحسميات غير القانونية منه أو تأخير دفع الأجر أو أجور ساعات العمل الإضافية أو أي تمييز في الأجور عن العمل ذي القيمة المتساوية.
المادة (54/أ/1) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.",Jordanian Labor Law No. 8 of 1996,54,Wages and Compensation,Hard,
Q016,ما هي المحكمة المختصة بنظر الطعون الموجهة ضد الأحكام الصادرة عن سلطة الأجور؟,محكمة الاستئناف، المادة (54/هـ) عمل,Jordanian Labor Law No. 8 of 1996,54,Labor Disputes and Arbitration,Easy,
Q017,ما هي الفروق بين الدعاوى العمالية التي تقام لدى محكمة الصلح وبين الدعاوى العمالية التي تقام لدى سلطة الأجور؟,"1- من حيث الاختصاص الوظيفي
تختص سلطة الأجور بالنظر في الدعاوى المتعلقة بالأجور بما في ذلك النقص في الأجر المدفوع أو الحسميات غير القانونية منه أو تأخير دفعه أو أجور ساعات العمل الإضافية أو أي تمييز في الأجور عن العمل ذي القيمة المتساوية ويشترط أن يكون العامل على رأس عمله أو لم يمض على ترك العمل مدة تزيد على ستة شهور، المادة (54/أ/1) عمل المعدلة بالقانون رقم 14 لسنة 2019.
أما محكمة الصلح، فتختص بالنظر في الدعاوى الناشئة عن نزاعات العمل الفردية بما فيها الدعاوى المتعلقة بالأجور في المناطق التي لا توجد فيها سلطة أجور، المادة (137/أ) عمل.
2- من حيث المحكمة المختصة بنظر الاستئناف
تستأنف الأحكام الصادرة عن سلطة الأجور إلى محكمة الاستئناف، المادة (54/هـ) عمل.
أما الأحكام الصادرة عن محكمة الصلح، فتستأنف إلى محكمة البداية بصفتها الاستئنافية، المادة (8/أ) من قانون محاكم الصلح الجديد والمادة (176/1/ب) من قانون أصول المحاكمات المدنية المعدلة بالقانون رقم 31 لسنة 2017.
3- من حيث دفع رسوم طوابع الواردات
تعفى الدعاوى المقامة لدى سلطة الأجور من دفع رسوم طوابع الواردات، المادة (54/ز) عمل.
أما الدعاوى المقامة لدى محكمة الصلح، فيلزم الخصم الذي يبرز عقد عمل خطياً بدفع رسوم طوابع الواردات عنه.
- تمييز حقوق (549/2001) منشور في مجلة نقابة المحامين لسنة 2004 ص(423) هيئة عامة.
- تمييز حقوق (2515/2004) تاريخ 30/11/2004.
- تمييز حقوق (1471/2005) تاريخ 5/9/2005 منشورات عدالة.
4- من حيث تقسيط المبالغ المحكوم بها
لا يجوز تقسيط المبالغ المحكوم بها من قبل سلطة الأجور، المادة (54/و) عمل.
أما المبالغ المحكوم بها من قبل محكمة الصلح، فيجوز تقسيطها وفقاً لما ورد في المادة (22/أ) من قانون التنفيذ.
5- من حيث القانون الإجرائي الواجب التطبيق
لا تكون سلطة الأجور ملزمة بتطبيق الإجراءات والأصول المتبعة في المحاكم، المادة (54/ب) عمل.
أما محكمة الصلح، فتكون ملزمة بتطبيق نصوص قانون محاكم الصلح وقانون أصول المحاكمات المدنية فيما لم يرد عليه نص في قانون محاكم الصلح، المادة (19) من قانون محاكم الصلح الجديد.
6- من حيث دفع الرسوم
في الدعاوى التي تقام لدى محكمة الصلح يلزم العامل بدفع رسم عن أية دعوى أخرى للمطالبة بالحقوق العمالية ذاتها، كما يلزم المدعي بدفع رسم تجديد في حال تم إسقاط الدعوى للمرة الثانية أو الثالثة، المادة (137/د/2) من قانون العمل. وهذا لا يطبق في الدعاوى المقامة لدى سلطة الأجور.",Jordanian Labor Law No. 8 of 1996,137,Wages and Compensation,Hard,
Q018,ما هي القواعد الخاصة بالدعاوى المتعلقة بالأجور التي تنظرها محكمة الصلح ؟,"1- يقدم العامل بنفسه أو نقابة العمال نيابة عنه الادعاء خطياً، ويجوز تقديم ادعاء موحد من عدد من العمال إذا كانوا يعملون في المؤسسة ذاتها وكان سبب دعواهم واحداً، كما يتوجب على صاحب العمل في مدة لا تتجاوز عشرة أيام من تاريخ تبلغه أوراق الدعوى أن يقدم إلى المحكمة جواباً مفصلاً على لائحة الدعوى عن كل واقعة من وقائعها مرفقاً به المستندات والبيانات التي تثبت وفاءه بالأجور التي يطالب بها العامل أو عدم استحقاقه لها.
2- ويجوز للمحكمة أن تطلب من صاحب العمل ضمن فترة تحددها أن يدفع للعامل الأجور المحسومة بصورة غير قانونية أو الأجور غير المدفوعة أو المستحقة الأداء التي تأخر عن دفعها في المدة المعينة لهذا الغرض ولها أن تضيف تعويضاً تقدره شريطة أن لا يتجاوز مبلغ التعويض المبلغ المحسوم أو غير المدفوع عن المدة المطالب بأجور عنها، ويشترط في ذلك أن لا يلزم صاحب العمل بدفع تعويض عن الأجور الناقصة أو المتأخر دفعها إذا اقتنعت المحكمة أن التأخر كان ناجماً عن خطأ بحسن نية أو على المبلغ الواجب دفعه، أو عن حدوث حالة طارئة، أو عن تخلف العامل عن المطالبة بدفع الأجور أو قبولها.
المادة (137/ب) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.",Jordanian Labor Law No. 8 of 1996,137,Wages and Compensation,Medium,
Q019,ما هو طريق الطعن في الأحكام الصادرة عن محاكم الصلح في الدعاوى العمالية ؟,الاستئناف، المادة (137/ج) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.,Jordanian Labor Law No. 8 of 1996,137,Labor Disputes and Arbitration,Easy,
Q020,متى تبدأ مدة استئناف الأحكام الصادرة عن محكمة الصلح في الدعاوي العمالية؟,"من يوم صدور الحكم إذا كان وجاهياً أو وجاهياً اعتبارياً ومن يوم تبلغ الحكم إذا كان بمثابة الوجاهي.
المادة (137/ج) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,137,Labor Disputes and Arbitration,Easy,
Q021,ما هي الإجازات التي نص عليها قانون العمل ؟,"1- الإجازة السنوية: ومدتها (14) يوماً سنوياً لمن لم يمضِ في الخدمة لدى صاحب العمل خمسة سنوات متصلة، وتزداد لتصبح (21) يوماً سنوياً لمن أمضى لدى صاحب العمل خمس سنوات متصلة المادة (61/أ).
2- الإجازة المرضية: ومدتها (14) يوماً سنوياً بأجر كامل ويجوز تمديدها لمدة (14) يوماً أخرى بأجر كامل بناء على تقرير من الطبيب المعتمد من قبل المؤسسات التي يقل عدد عمالها عن عشرين عاملاً، أما المؤسسات التي يزيد عدد عمالها على عشرين عاملاً، فيتم اعتماد لجنة طبية خاصة لغاية اعتماد التقارير الطبية، المادة (65) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.
3- الإجازات الإضافية:
أ- الالتحاق بدورة الثقافة العمالية المعتمدة من الوزارة أو الاتحاد العام لنقابات العمال، وتكون مدفوعة الأجر، ومدتها (14) يوماً.
ب- لأداء فريضة الحج شريطة أن يكون العامل قد عمل مدة خمس سنوات متواصلة على الأقل لدى صاحب العمل، وتكون مدفوعة الأجر، ومدتها (14) يوماً، وتمنح لمرة واحدة أثناء خدمة العامل.
ج- للالتحاق بالدراسة في معهد أو جامعة أو كلية معترف بها بصورة رسمية، وهذه الإجازة مدتها أربعة أشهر غير مدفوعة الأجر.
د- إجازة الأبوة: وتمنح للعامل (الذكر) في حال قدوم مولوده له، ومدتها (3) أيام.
وهذه الإجازات نصت عليها المادة (66) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.
4- إجازة الأم لرعاية أطفالها: وتمنح للمرأة التي تعمل في مؤسسة تستخدم عشرة عمال فأكثر وقدرها لا تزيد على سنة ودون أجر للتفرغ لتربية أطفالها، المادة (67) من قانون العمل.
5- إجازة الزوجين لانتقال عمل أحدهما: لكل من الزوجين العاملين الحصول على إجازة لمرة واحدة دون أجر لمدة لا تزيد على سنتين لمرافقة زوجه إذا انتقل إلى عمل آخر يقع خارج المحافظة التي يعمل فيها داخل المملكة أو إلى عمل يقع خارجها، المادة (68) من قانون العمل.
6- إجازة الأمومة: وتمنح للمرأة ومدتها عشرة أسابيع مدفوعة الأجر على أن لا تقل المدة التي تقع من هذه الإجازة بعد الوضع عن ستة أسابيع، المادة (70) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,18,Annual and Sick Leave,Medium,
Q022, ما هي الجهات التي حددها المشرع للنظر والفصل في النزاعات العمالية ؟,"1- سلطة الأجور: وتختص بالنظر والفصل في الدعاوى المتعلقة بالأجور للعامل الذي لا يزال على رأس عمله أو لم يمض على ترك العمل مدة تزيد على ستة أشهر، المادة (54) من قانون العمل.
2- محكمة الصلح: وتختص بالنظر والفصل في النزاعات الناشئة عن عقد العمل الفردي بما فيها الدعاوى المتعلقة بالأجور في المناطق التي لا توجد فيها سلطة أجور، المادة (137/أ) من قانون العمل.
3- مندوب التوفيق: ويختص بالوساطة في تسوية النزاعات العمالية الجماعية، المادتان (120 - 121/أ، ب) من قانون العمل.
4- مجلس التوفيق: ويختص بتسوية النزاعات العمالية الجماعية في حال عدم تمكن مندوب التوفيق من تسوية النزاع العمالي الجماعي، المواد (121/ج) و(122) و(123) من قانون العمل.
5- المحكمة العمالية: وتختص بالنظر والفصل في النزاع العمالي الجماعي في حال عدم تمكن مجلس التوفيق من إنهائه، المواد (124 - 133) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,120,Labor Disputes and Arbitration,Hard,
Q023,ما هو أثر شرط التحكيم الذي يرد في عقود العمل الفردية ؟,"يعد شرط التحكيم باطلاً.
المادة (10/د/2) من قانون التحكيم رقم 31 لسنة 2001 المعدلة بالقانون رقم 16 لسنة 2018.
- تمييز حقوق (320/2015) فصل 31/3/2015 هيئة عامة.
- تمييز حقوق (4524/2015) فصل 13/4/2016 هيئة عامة.
- تمييز حقوق (2637/2016) فصل 8/9/2016 هيئة عامة.",Jordanian Labor Law No. 8 of 1996,18,Labor Disputes and Arbitration,Easy,
Q024,هل يحق للعامل المطالبة في دعواه بالفائدة القانونية عن حقوقه العمالية ؟,"لقد استقر اجتهاد محكمة التمييز على أنه يحق للعامل المطالبة في دعواه بالفائدة القانونية عن حقوقه العمالية، حيث أن الحقوق العمالية تعتبر ديناً في ذمة صاحب العمل عند انتهاء عقد العمل وإذا لم يدفعها بعد المطالبة بها يحكم عليه بالفائدة من تاريخ إقامة الدعوى وفقاً لما تنص عليه المادة (167/1) من قانون أصول المحاكمات المدنية، ومن هذه الاجتهادات:
- تمييز حقوق (3631/2009)، هيئة عامة، تاريخ 24/1/2010.
- تمييز حقوق (575/2008)، هيئة عامة، تاريخ 28/1/2009.
- تمييز حقوق (147/2013) تاريخ 7/5/2013.",Jordanian Labor Law No. 8 of 1996,108,Wages and Compensation,Easy,
Q025,ما هي المزايا التي منحها المشرع للعامل في الدعاوى التي تقام منه للمطالبة بحقوقه ؟,"1- إعفاء جميع الدعاوى التي تقام لدى محاكم الصلح من جميع الرسوم بما فيها رسوم تنفيذ الأحكام الصادرة عنها، على ألا يستفيد العامل من هذه الميزة في حال تجديد الدعوى لأكثر من مرة بعد إسقاطها أو على أية دعوى أخرى يقيمها العامل للمطالبة بالحقوق العمالية ذاتها، المادة (137/د) من قانون العمل المعدلة بالقانون رقم 14 لسنة 2019.
2- إعفاء جميع الدعاوى التي تقام لدى سلطة الأجور من جميع الرسوم والطوابع بما فيها رسوم تنفيذ الأحكام الصادرة عنها، المادة (54/ز) من قانون العمل.
3- عدم إخضاع المبالغ المحكوم بها من قبل سلطة الأجور للتقسيط لدى دائرة التنفيذ المادة (54/و) من قانون العمل.
4- وجوب نظر الدعوى لدى محكمة الصلح بصورة مستعجلة، المادة (137/أ) من قانون العمل.
5- منح العامل ميزة إثبات حقوقه بجميع طرق الإثبات إذا لم يحرر عقد العمل كتابة المادة (15/أ/1) من قانون العمل.
6- امتياز الحقوق العمالية واعتبارها ديوناً ذات امتياز عام من الدرجة الأولى المادة (51/أ) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,137,Labor Disputes and Arbitration,Medium,
Q026,ا حكم القانون في المخالصة التي يوقعها العامل أثناء العمل ويقر فيها بأنه ليس له حقوق تجاه صاحب العمل ويبرئه فيها من كل حق أو طلب أو دعوى أو يتنازل عن حق من الحقوق التي يمنحها إياه قانون العمل؟,تعتبر هذه المخالصة باطلة، المادة (4/ب) من قانون العمل,Jordanian Labor Law No. 8 of 1996,4,Employment Contracts,Easy,
Q027,ما حكم القانون في المخالصة التي يوقعها العامل بعد انتهاء عمله ويقر فيها بأنه ليس له حقوق تجاه صاحب العمل ويبرئه فيها من كل حق أو طلب أو دعوى أو يتنازل عن حق من الحقوق التي يمنحها إياه قانون العمل؟,"تعتبر هذه المخالصة صحيحة نافذة.
- تمييز حقوق (93/2002) هيئة عامة، تاريخ 20/1/2002.
- تمييز حقوق (255/2013) تاريخ 8/4/2013، 2/1/2002 منشورات عدالة.",Jordanian Labor Law No. 8 of 1996,4,Employment Contracts,Medium,
Q028,ما هو الأثر القانوني للمخالصة التي يوقعها العامل أثناء فترة الإشعار بإنهاء عقد العمل غير المحدد المدة ؟,"تعد المخالصة التي يوقعها العامل أثناء فترة الإشعار بإنهاء عقد العمل غير المحدد المدة صحيحة ونافذة.
- تمييز حقوق (61/2003) هيئة عامة منشور في مجلة نقابة المحامين لسنة 2004 ص (1524).
- تمييز حقوق (3094/2004) هيئة عامة منشور في مجلة نقابة المحامين لسنة 2005 ص (1728).",Jordanian Labor Law No. 8 of 1996,23,Annual and Sick Leave,Medium,
Q029,ما حكم القانون في الاختراع الذي يتوصل إليه العامل ؟,"1- تحدد حقوق الملكية الفكرية لكل من صاحب العمل والعامل بالاتفاق خطياً بينهما فيما يتعلق بأعمال صاحب العمل إذا استخدم العامل خبرات صاحب العمل أو معلوماته أو أدواته أو آلاته في التوصل إلى هذا الابتكار.
2- تكون حقوق الملكية للعامل بتوافر الشروط التالية:
أ- إذا كان حق الملكية الفكرية المبتكر من قبل العامل لا يتعلق بأعمال صاحب العمل.
ب- ألا يكون العامل قد استخدم خبرات صاحب العمل أو معلوماته أو أدواته أو مواده الأولية في التوصل إلى هذا الابتكار.
ج- ألا يوجد اتفاق خطي يمنع العامل من تملك حق الملكية الفكرية المبتكر من قبله.
المادة (20) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,2,Labor Disputes and Arbitration,Hard,
Q030,ما هي شروط إنهاء عقود العمل أو تعليقها كلها أو بعضها بسبب ظروف صاحب العمل الاقتصادية أو الفنية ؟,"1- أن تقتضي ظروف صاحب العمل الاقتصادية أو الفنية تقليص حجم العمل أو استبدال نظام إنتاج بآخر أو التوقف نهائياً عن العمل.
2- أن يترتب على هذه الظروف إنهاء عقود العمل أو تعليقها كلها أو بعضها.
3- أن يقتصر إنهاء عقود العمل أو تعليقها كلها أو بعضها على عقود العمل غير المحدودة المدة.
4- أن يبلغ صاحب العمل وزير العمل خطياً معززاً بالأسباب المبررة فوراً قبل اتخاذ أي إجراء.
المادة (31/أ) من قانون العمل.",Jordanian Labor Law No. 8 of 1996,31,Termination and Severance,Hard,
